Australian
Conversation ID,Entry ID,Actor,Original Text,Translated Text [Australian],Original Menu,Translated Menu [Australian],Description
2,0,Kim,,,,,
2,3,Kim,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . Got anything useful for me? ",,,,When the conversation starts the player will ask MARCO if he has anything useful to say using one of the MARCO Greetings (recorded separately)
2,4,MARCO,Ummm....nope,,,,A randomised response by MARCO
2,5,MARCO,A cloud weighs around a million tonnes,,,,A randomised response by MARCO
2,7,MARCO,Water might not be wet,,,,
2,8,Kim,"Gee, thanks",,,,(sarcastic)	
2,9,Kim,Holy Shit...well that is interesting,,,,(mildly surprised as you have been just told an interesting fact)	
2,10,Kim,Huh?,,,,
2,11,MARCO,"This is because most scientists define wetness as a liquid’s ability to maintain contact with a solid surface, meaning that water itself is not wet, but can make other objects wet.",,,,
4,0,Kim,,,,,
4,3,Kim,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . What can you tell me about this place? ",,,,
4,4,MARCO,It looks like we are in...1526,,,,
4,8,Kim,Ohhh...wow!,,,,
5,0,Kim,,,,,
5,1,Kim,Siri… what’s the date? ,,,,This is the first real interaction with MARCO
5,2,MARCO,"This is Marco, your personal assistant app!",,,,First time responding - Kim has called you Siri
5,3,Kim,Right. Marco. Whatever.,,,,
5,4,MARCO,"It’s not really a case of ‘whatever’. I’m the most advanced AI that’s been devised. I don’t even rely on wifi, which is pretty useful given where you’ve found yourself.",,,,
5,5,Kim,Where <i>have</i> I…,,,,
5,6,MARCO,"I’m only bringing it up because – got to address it, elephant in the room – I did hear you say earlier that I was a, quote, ‘shitty version of Siri’. I realise this was ignorance rather than malice, but of course, it hurts. I’m many more times more powerful than Siri, Alex, any of these goons.",,,,
5,7,Kim,"Fine. I didn’t mean to… like, I wouldn’t think it would be possible to hurt the feelings of a…",,,,
5,8,MARCO,"Of a machine. No. My super-intelligence is both blessing and curse. Anyway, what was it you wanted to ask? Another thing about my sophisticated human mimicry is that I quite often forget what the hell I’m meant to be doing.",,,,
5,9,Kim,"I was asking you what date it is, what… what year it is.",,,,
5,10,MARCO,Oh. Easy. It’s August 5th... \. 1526.,,,,
6,0,MARCO,,,,,
6,1,MARCO,"Excuse me for being nosy, but are you lost? ",,,,
6,2,Kim,What makes you say that? ,,,,
6,3,MARCO,"Well, you have been here a number of times and you dont seem to be doing much",,,,
7,0,Kim,,,,,
7,1,Alice,"Oh my God, thank you!",,,,[Kim just helped Alice barely squeeze onto the train]
7,3,Alice,"Hey, does this go to Stockwell?",,,,
7,4,Kim,"Um, No.",,,,
7,5,Alice,Oh. Probably shouldn’t have risked my life getting on.,,,,
7,6,Kim,"But you could actually change at...\n well, stay on and I’ll show you.",,,,
7,7,Alice,Thank you! You live in London? ,,,,
7,8,Kim,Um. Yep,,,,
7,9,Kim,You’re welcome…,,,,
7,10,Alice,,,,,
8,0,Kim,,,,,
8,9,Alice,"Is that your uniform? I mean, I guess it is.\nYou probably wouldn’t wear a name badge if it was your real clothes.",,,,
8,10,Kim,"Yes, I work at – um. I’ve just started at, do you know the Bankside Museum!",,,,
8,11,Alice,"Cool, yeah!",,,,
8,12,Kim,Do you know it?,,,,
8,13,Alice,Um. No. I just wanted to sound enthusiastic. ,,,,
8,14,Kim,(Laughter) Fair enough,,,,
8,15,Alice,I’ve been to London Zoo if that’s the same kind of thing?,,,,
8,16,Kim,"I guess it is, yeah.",,,,
8,17,Alice,"It’s not, remotely, is it?",,,,
8,18,Kim,"I mean, no. We don’t have any live animals. \nThey don’t have any 16th century tableware.",,,,
9,0,Kim,,,,,
9,10,Kim,So you don’t live in London?,,,,
9,11,Alice,I don’t live anywhere. I’m homeless!,,,,
9,12,Kim,…what?,,,,
9,13,Alice,"God sorry, that was a stupid joke. Um I just mean I don’t have a home – a specific home – right now. I’m on my way to look at a place. A house share.",,,,
9,14,Kim,"Oh right. Well, I – I hope it works out.",,,,
9,15,Alice,"Me too, or I might end up sleeping in the museum after you lock up.",,,,
9,16,Kim,"Um, I don’t think…",,,,
9,17,Alice,Another stupid joke! Sorry again. I – sometimes I do that when I’m nervous.,,,,
9,18,Kim,"What are you nervous about, about the… house…",,,,
9,19,Alice,"I just mean about, you know, whether I like the house.",,,,
9,20,Kim,Oh! This is you,,,,
10,0,Kim,,,,,
10,1,Kim,Good Luck!,,,,
11,0,Kim,,,,,
11,1,Tourist,"Excuse me, can I ask you a question?",,,,
11,2,Kim,"Of course! It’s beautiful, isn’t it? Probably late Medieval. What would you like to know?",,,,
11,3,Tourist,Where are the toilets?,,,,
11,4,Kim,"Oh. Um. Down that way, first on the right.",,,,
12,0,Kim,,,,,
12,1,Alice,"Hey, I had a question too",,,,
12,2,Kim,Oh! – hey!,,,,
12,3,Alice,"Hey, we met on the…",,,,
12,4,Kim,"I remember, yes. So – what was your question? Let me guess: toilets or gift shop.",,,,
12,5,Alice,Wrong,,,,
12,6,Kim,Oh! 	,,,,
13,0,Kim,,,,,
13,1,Kim,"…that’s the thing, history isn’t something that’s finished, gone. It’s forever. We’re part of it right now, we take our little turn. ",,,,
13,2,Kim,There are things even in this room that were around long before we were born and will still be here after we’re dead.,,,,
13,3,Kim,,,,,
14,0,Kim,,,,,
14,1,Kim,"Damn it, I thought we were going to get through one without anyone crying. OK… any questions?",,,,
14,2,Kim,,,,,
15,0,Kim,,,,,
15,1,Kid1,Have you ever been locked in here at night and like all the mummies and the dinosaurs come to life and you have to kill them before they kill you?,,,,
15,2,Kim,"Haha, no, I’ve been here a few years now and I’ve never been threatened by anyone from the undead. Anyone else?<waitfor=1>yes?",,,,
15,3,Kid1,,,"If you did have to try and kill a mummy, what weapon would you…",,
15,4,Kim,Has anyone got a question that isn’t about the museum turning into a horror movie?,,,,
15,5,Kim,"OK, well, thanks for coming to the Bankside Museum. If you’d like to leave a review… <waitfor=1> Oh, sorry. Miss Crane was it?",,,,
15,6,Miss Crane,"Yes. Sorry, this might sound silly, but do you think time travel will ever be possible? Or has ever been possible. If you see what I mean.",,,,
15,7,Kim,Well. Good question. I guess the argument against it is – you’ve probably heard of the time travel paradox. ,,,,
15,8,Kim,"And in that version of the world we might not be here to go back and change that thing. So, I guess I’d say…",,,,
15,9,Kid1,"Miss, Miss, Donny’s got a nosebleed and it’s gone on a vase.",,,,
