ID,Type,Original text,Scene,Description,Original text
127,Speech,You need a drink before you head out!,TestInterior,From: Exit: Use,You need a drink before you head out!
136,Hotspot,LookAt_Desk,TestInterior,From: LookAt_Desk,LookAt_Desk
129,Hotspot,6,TestInterior,From: Drawer6_HS,6
132,Hotspot,4,TestInterior,From: Drawer4_HS,4
137,Hotspot,THIS IS A BOOK!!!,TestInterior,From: Hotspot,THIS IS A BOOK!!!
140,Hotspot,DeskLongDrawer_HS,TestInterior,From: DeskLongDrawer_HS,DeskLongDrawer_HS
133,Hotspot,8,TestInterior,From: Drawer8_HS,8
128,Hotspot,5,TestInterior,From: Drawer5_HS,5
143,Hotspot,Exit,TestInterior,From: DoorCollider,Exit
142,Hotspot,Card Cabinet,TestInterior,From: CubbyHoleLookAt_HS,Card Cabinet
197,Hotspot,THIS IS A BOOK!!!,TestInterior,From: Hotspot,THIS IS A BOOK!!!
139,Hotspot,TrolleyHotspot,TestInterior,From: TrolleyHotspot,TrolleyHotspot
134,Hotspot,7,TestInterior,From: Drawer7_HS,7
130,Hotspot,3,TestInterior,From: Drawer3_HS,3
135,Hotspot,9,TestInterior,From: Drawer9_HS,9
131,Hotspot,2,TestInterior,From: Drawer2_HS,2
144,Hotspot,Paper_HS,TestInterior,From: Paper_HS,Paper_HS
141,Hotspot,WIne_HS,TestInterior,From: WIne_HS,WIne_HS
138,Hotspot,1,TestInterior,From: Drawer1_HS,1
145,MenuElement,Save, , ,Save
146,MenuElement,Import, , ,Import
147,MenuElement,Autosave, , ,Autosave
151,InventoryItem,Chocolate, , ,Chocolate
152,InventoryItem,Batteries , , ,Batteries 
153,InventoryItem,Pen Knife , , ,Pen Knife 
154,InventoryItem,Medication , , ,Medication 
155,InventoryItem,Toilet Roll , , ,Toilet Roll 
156,InventoryItem,Toothbrush, , ,Toothbrush
157,InventoryItem,Glasses , , ,Glasses 
158,InventoryItem,Clothes , , ,Clothes 
159,InventoryItem,Torch , , ,Torch 
160,InventoryItem,Hip Flask , , ,Hip Flask 
161,InventoryItem,Photo of Alice , , ,Photo of Alice 
165,Document,Test_SympbolsDoc, , ,Test_SympbolsDoc
166,Document,These symbols might be useful..., , ,These symbols might be useful...
168,HotspotPrefix,Use, , ,Use
169,HotspotPrefix,on, , ,on
170,HotspotPrefix,Give, , ,Give
171,HotspotPrefix,to, , ,to
172,HotspotPrefix,Walk to, , ,Walk to
173,CursorIcon,Use, , ,Use
174,CursorIcon,Talk to, , ,Talk to
175,CursorIcon,Look at, , ,Look at
176,CursorIcon,Up, , ,Up
177,CursorIcon,UseNoExamine, , ,UseNoExamine
66,MenuElement,Resume, , ,Resume
67,MenuElement,Options, , ,Options
68,MenuElement,Save, , ,Save
69,MenuElement,Load, , ,Load
178,MenuElement,Profiles, , ,Profiles
70,MenuElement,Quit, , ,Quit
71,MenuElement,Options, , ,Options
72,MenuElement,Speech volume, , ,Speech volume
73,MenuElement,Music volume, , ,Music volume
74,MenuElement,SFX volume, , ,SFX volume
75,MenuElement,Language, , ,Language
76,MenuElement,Subtitles, , ,Subtitles
179,MenuElement,On, , ,On
180,MenuElement,Off, , ,Off
77,MenuElement,Back, , ,Back
78,MenuElement,Save game, , ,Save game
88,MenuElement,New save, , ,New save
79,MenuElement,Back, , ,Back
80,MenuElement,Load game, , ,Load game
81,MenuElement,Back, , ,Back
181,MenuElement,Profiles, , ,Profiles
182,MenuElement,Current:, , ,Current:
183,MenuElement,Create new profile, , ,Create new profile
184,MenuElement,Back, , ,Back
185,MenuElement,2025, , ,2025
186,MenuElement,1440, , ,1440
187,MenuElement,CLOSE, , ,CLOSE
84,MenuElement,Menu, , ,Menu
89,MenuElement,Container, , ,Container
90,MenuElement,Close, , ,Close
91,MenuElement,Take all, , ,Take all
92,MenuElement,Inventory, , ,Inventory
99,MenuElement,Create, , ,Create
100,MenuElement,Close, , ,Close
101,MenuElement,Ingredients, , ,Ingredients
102,MenuElement,Inventory, , ,Inventory
103,MenuElement,Output, , ,Output
188,MenuElement,Close, , ,Close
104,MenuElement,Objectives, , ,Objectives
105,MenuElement,Back, , ,Back
189,MenuElement,Button, , ,Button
190,MenuElement,Inv, , ,Inv
191,MenuElement,SKIP, , ,SKIP
106,MenuElement,New Game, , ,New Game
107,MenuElement,Options, , ,Options
108,MenuElement,Load, , ,Load
192,MenuElement,Profiles, , ,Profiles
109,MenuElement,Quit, , ,Quit
193,MenuElement,Label, , ,Label
194,Speech,Hmmm....nope, ,From: UnhandledUseOnHotspot,Hmmm....nope
195,Speech,All the information you need is in the task, ,From: UnhandledUseOnHotspot,All the information you need is in the task
196,Speech,I dont think that will work here, ,From: UnhandledUseOnHotspot,I dont think that will work here
198,Speech,See ya!,OpeningScene,From: TalkToGreg,See ya!
199,Speech,"Yep, catch ya later",OpeningScene,From: TalkToGreg,"Yep, catch ya later"
200,Speech,Hows Debbie? And the kids? all going okay?,OpeningScene,From: TalkToGreg,Hows Debbie? And the kids? all going okay?
201,Speech,"All good, you know, kids are kids",OpeningScene,From: TalkToGreg,"All good, you know, kids are kids"
202,Speech,Delightful weather today huh?,OpeningScene,From: TalkToGreg,Delightful weather today huh?
203,Speech,Yeah...are you trying to avoid talking about your presentation? ,OpeningScene,From: TalkToGreg,Yeah...are you trying to avoid talking about your presentation? 
204,Speech,No.,OpeningScene,From: TalkToGreg,No.
205,Speech,well that was not my best work!,OpeningScene,From: TalkToGreg,well that was not my best work!
