Database,FindMeDialogueDatabase
Author,
Version,
Description,

---Actors---
Name,Description
Kim,
NPC,
Merchant,
MARCO,
Alice,
Tourist,Tourist 2016
Kid1,Kid1 2026
Miss Crane,Teacher2026
CyringKid,Crying Kid 2026
Saraswati,
BMA,
Waiter2026,
Christian,
OptionSelection,Used to display any non-dialogue option selection

---Conversations---

Conversation 2,MARCO_1
Description,"Conversation with MARCO that appears when the player initiates a conversation with MARCO that is not initiated by the game. This conversation is mostly for fun, but may contain hints in particular parts of the game"
entrytag,Actor,Description,English
Kim_2_3,Kim,When the conversation starts the player will ask MARCO if he has anything useful to say using one of the MARCO Greetings (recorded separately),"[lua(RandomElement(Variable[""MarcoGreeting""]))] . Got anything useful for me? "
MARCO_2_4,MARCO,A randomised response by MARCO,Ummm....nope
MARCO_2_5,MARCO,A randomised response by MARCO,A cloud weighs around a million tonnes
MARCO_2_7,MARCO,,Water might not be wet
Kim_2_8,Kim,(sarcastic)	,"Gee, thanks"
Kim_2_9,Kim,(mildly surprised as you have been just told an interesting fact)	,Holy Shit...well that is interesting
Kim_2_10,Kim,,Huh?
MARCO_2_11,MARCO,,"This is because most scientists define wetness as a liquid’s ability to maintain contact with a solid surface, meaning that water itself is not wet, but can make other objects wet."

Conversation 4,1526_Marco1
Description,	
entrytag,Actor,Description,English
Kim_4_3,Kim,,"[lua(RandomElement(Variable[""MarcoGreeting""]))] . What can you tell me about this place? "
MARCO_4_4,MARCO,,It looks like we are in...1526
Kim_4_8,Kim,,Ohhh...wow!

Conversation 5,1526_Marco_InitialConversation
Description,
entrytag,Actor,Description,English
Kim_5_1,Kim,This is the first real interaction with MARCO,Siri… what’s the date? 
MARCO_5_2,MARCO,First time responding - Kim has called you Siri,"This is Marco, your personal assistant app!"
Kim_5_3,Kim,,Right. Marco. Whatever.
MARCO_5_4,MARCO,,"It’s not really a case of ‘whatever’. I’m the most advanced AI that’s been devised. I don’t even rely on wifi, which is pretty useful given where you’ve found yourself."
Kim_5_5,Kim,,Where <i>have</i> I…
MARCO_5_6,MARCO,,"I’m only bringing it up because – got to address it, elephant in the room – I did hear you say earlier that I was a, quote, ‘shitty version of Siri’. I realise this was ignorance rather than malice, but of course, it hurts. I’m many more times more powerful than Siri, Alex, any of these goons."
Kim_5_7,Kim,,"Fine. I didn’t mean to… like, I wouldn’t think it would be possible to hurt the feelings of a…"
MARCO_5_8,MARCO,,"Of a machine. No. My super-intelligence is both blessing and curse. Anyway, what was it you wanted to ask? Another thing about my sophisticated human mimicry is that I quite often forget what the hell I’m meant to be doing."
Kim_5_9,Kim,,"I was asking you what date it is, what… what year it is."
MARCO_5_10,MARCO,,Oh. Easy. It’s August 5th... \. 1526.

Conversation 6,MARCO_1526_Area2EnteredMultiplw
Description,Entered 1526 area 2 multiple times
entrytag,Actor,Description,English
MARCO_6_1,MARCO,,"Excuse me for being nosy, but are you lost? "
Kim_6_2,Kim,,What makes you say that? 
MARCO_6_3,MARCO,,"Well, you have been here a number of times and you dont seem to be doing much"

Conversation 7,May2016_cutscene/Kim_Alice_1
Description,Cutscene 1 - Kim and Alice first meeting on a train 2016
entrytag,Actor,Description,English
Alice_7_1,Alice,[Kim just helped Alice barely squeeze onto the train],"Oh my God, <b>thank you!"
Alice_7_3,Alice,,"Hey, does this go to Stockwell?"
Kim_7_4,Kim,,"Um, No."
Alice_7_5,Alice,,Oh. Probably shouldn’t have risked my life getting on.
Kim_7_6,Kim,,"But you could actually change at – well, stay on and I’ll show you."
Alice_7_7,Alice,,Thank you! You live in London? 
Kim_7_8,Kim,,Um. Yep
Kim_7_9,Kim,,You’re welcome…
Alice_7_10,Alice,,

Conversation 8,May2016_cutscene/Kim_Alice_2
Description,First conversation Kim and Alice 
entrytag,Actor,Description,English
Alice_8_9,Alice,,"Is that your uniform? I mean, I guess it is.\nYou probably wouldn’t wear a name badge if it was your real clothes."
Kim_8_10,Kim,,"Yes, I work at – um. I’ve just started at, do you know the Bankside Museum!"
Alice_8_11,Alice,,"Cool, yeah!"
Kim_8_12,Kim,,Do you know it?
Alice_8_13,Alice,,Um. No. I just wanted to sound enthusiastic. 
Kim_8_14,Kim,,(Laughter) Fair enough
Alice_8_15,Alice,,I’ve been to London Zoo if that’s the same kind of thing?
Kim_8_16,Kim,,"I guess it is, yeah."
Alice_8_17,Alice,,"It’s not, remotely, is it?"
Kim_8_18,Kim,,"I mean, no. We don’t have any live animals. \nThey don’t have any 16th century tableware."

Conversation 9,May2016_cutscene/Kim_Alice_3
Description,First conversation Kim and Alice 
entrytag,Actor,Description,English
Kim_9_10,Kim,,So you don’t live in London?
Alice_9_11,Alice,,I don’t live anywhere. I’m homeless!
Kim_9_12,Kim,,…what?
Alice_9_13,Alice,,"God sorry, that was a stupid joke. Um I just mean I don’t have a home – a specific home – right now. I’m on my way to look at a place. A house share."
Kim_9_14,Kim,,"Oh right. Well, I – I hope it works out."
Alice_9_15,Alice,,"Me too, or I might end up sleeping in the museum after you lock up."
Kim_9_16,Kim,,"Um, I don’t think…"
Alice_9_17,Alice,,Another stupid joke! Sorry again. I – sometimes I do that when I’m nervous.
Kim_9_18,Kim,,"What are you nervous about, about the… house…"
Alice_9_19,Alice,,"I just mean about, you know, whether I like the house."
Kim_9_20,Kim,,Oh! This is you

Conversation 10,May2016_cutscene/Kim_Alice_4
Description,
entrytag,Actor,Description,English
Kim_10_1,Kim,,

Conversation 11,July2016_Cutscene/Tourist1
Description,
entrytag,Actor,Description,English
Tourist_11_1,Tourist,,
Kim_11_2,Kim,,
Tourist_11_3,Tourist,,
Kim_11_4,Kim,,

Conversation 12,July2016_Cutscene/Alice
Description,
entrytag,Actor,Description,English
Alice_12_1,Alice,,
Kim_12_2,Kim,,
Alice_12_3,Alice,,
Kim_12_4,Kim,,
Alice_12_5,Alice,,
Kim_12_6,Kim,,

Conversation 13,August2026_cutscene/KimKids1
Description,
entrytag,Actor,Description,English
Kim_13_1,Kim,,
Kim_13_2,Kim,,
Kim_13_3,Kim,,

Conversation 14,August2026_cutscene/KimKids2
Description,
entrytag,Actor,Description,English
Kim_14_1,Kim,,
Kim_14_2,Kim,,

Conversation 15,August2026_cutscene/KimKids3
Description,
entrytag,Actor,Description,English
Kid1_15_1,Kid1,,
Kim_15_2,Kim,,
Kid1_15_3,Kid1,,
Kim_15_4,Kim,,
Kim_15_5,Kim,,
Miss_Crane_15_6,Miss Crane,,
Kim_15_7,Kim,,
Kim_15_8,Kim,,
Kid1_15_9,Kid1,,
Kim_15_10,Kim,,

Conversation 16,August2026_cutscene/KimKids_crying
Description,
entrytag,Actor,Description,English
CyringKid_16_1,CyringKid,,

Conversation 18,July2016_Cutscene/Alice2
Description,
entrytag,Actor,Description,English
Alice_18_7,Alice,,
Kim_18_8,Kim,,
Alice_18_10,Alice,,
Kim_18_11,Kim,,
Alice_18_12,Alice,,
Alice_18_13,Alice,,
Alice_18_14,Alice,,
Kim_18_15,Kim,,
Alice_18_16,Alice,,
Kim_18_17,Kim,,
Alice_18_18,Alice,,
Kim_18_19,Kim,,

Conversation 19,August2026_cutscene/KimKidsYesYou
Description,
entrytag,Actor,Description,English
Kim_19_2,Kim,,

Conversation 20,August2026_Office/Saraswati
Description,
entrytag,Actor,Description,English
Saraswati_20_1,Saraswati,,
Kim_20_2,Kim,,
Kim_20_3,Kim,,

Conversation 21,August2026_Office/BMA
Description,
entrytag,Actor,Description,English
BMA_21_1,BMA,,
Kim_21_2,Kim,,

Conversation 23,August2026_Office/Today
Description,
entrytag,Actor,Description,English
Kim_23_1,Kim,,

Conversation 24,August2026_Office/MARCO
Description,
entrytag,Actor,Description,English
Kim_24_1,Kim,,

Conversation 25,August2026_Office/Restaurant
Description,
entrytag,Actor,Description,English
Waiter2026_25_1,Waiter2026,,

Conversation 26,August2026_Office/River
Description,
entrytag,Actor,Description,English
