Database,,,,,,,,,,,,,,,,,
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4,,,,,,,,,,
FindMeDialogueDatabase,,,,#b4b0b0ff ---,#7f0000ff ---,#ffffffff b--,#0000ffff ---,,,,,,,,,,
Global User Script,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Actors,,,,,,,,,,,,,,,,,
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,NodeColor,,,,,,,,
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text,,,,,,,,
1,,[],,[],Player,[],,TRUE,{{omit}},,,,,,,,
2,,[],,[],NPC,[],,FALSE,{{omit}},,,,,,,,
3,,[],,[],Merchant,[],,FALSE,{{omit}},,,,,,,,
4,Assets/Plugins/Pixel Crushers/Dialogue System/Prefabs/Art/Textures/Shared Textures/Test Portrait.png,[],,[],MARCO,[],,FALSE,#aad600ff,,,,,,,,
5,,[],,[],Alice,[],,FALSE,{{omit}},,,,,,,,
Items,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,
Locations,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,
Variables,,,,,,,,,,,,,,,,,
ID,Name,Initial Value,Description,InitialValueType,,,,,,,,,,,,,
Number,Text,Text,Text,Text,,,,,,,,,,,,,
1,Alert,,,Text,,,,,,,,,,,,,
3,MarcoGreeting,Hey Marco|Yo Computer boy|Hey Siri..I mean...you know,,Text,,,,,,,,,,,,,
Conversations,,,,,,,,,,,,,,,,,
ID,Title,Description,Actor,Conversant,Overrides,,,,,,,,,,,,
Number,Text,Text,Actor,Actor,JSON,,,,,,,,,,,,
1,MerchantConversation1,"Initial conversation with the Merchant. First time you have spoken to someone from a different time, and you are still confused about how you got here, where you are and who these people are",1,3,"{""useOverrides"":false,""overrideSubtitleSettings"":true,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":false,""showPCSubtitlesDuringLine"":true,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":1,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
2,MARCO_1,"Conversation with MARCO that appears when the player initiates a conversation with MARCO that is not initiated by the game. This conversation is mostly for fun, but may contain hints in particular parts of the game",1,4,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
3,MerchantConversation2,,1,3,"{""useOverrides"":false,""overrideSubtitleSettings"":true,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
4,1526_Marco1,"	",1,4,"{""useOverrides"":false,""overrideSubtitleSettings"":false,""showNPCSubtitlesDuringLine"":true,""showNPCSubtitlesWithResponses"":true,""showPCSubtitlesDuringLine"":false,""skipPCSubtitleAfterResponseMenu"":false,""subtitleCharsPerSecond"":30.0,""minSubtitleSeconds"":2.0,""continueButton"":0,""overrideSequenceSettings"":false,""defaultSequence"":"""",""defaultPlayerSequence"":"""",""defaultResponseMenuSequence"":"""",""overrideInputSettings"":false,""alwaysForceResponseMenu"":true,""includeInvalidEntries"":false,""responseTimeout"":0.0,""emTagForOldResponses"":0,""emTagForInvalidResponses"":0,""cancelSubtitle"":{""key"":27,""buttonName"":""""},""cancelConversation"":{""key"":27,""buttonName"":""""}}",,,,,,,,,,,,
