ID,Type,Original text,French,TagID
28,MenuElement,1440, ,-1
27,MenuElement,2025, ,-1
2,MenuElement,Autosave, ,-1
15,MenuElement,Back, ,-1
20,MenuElement,Back, ,-1
22,MenuElement,Back, ,-1
26,MenuElement,Back, ,-1
43,MenuElement,Back, ,-1
31,MenuElement,Button, ,-1
44,MenuElement,Button, ,-1
53,MenuElement,Button, ,-1
54,MenuElement,Button, ,-1
55,MenuElement,Button, ,-1
56,MenuElement,Button, ,-1
57,MenuElement,Button, ,-1
60,MenuElement,Button, ,-1
61,MenuElement,Button, ,-1
29,MenuElement,CLOSE, ,-1
33,MenuElement,Close, ,-1
37,MenuElement,Close, ,-1
41,MenuElement,Close, ,-1
58,MenuElement,Close, ,-1
59,MenuElement,Close, ,-1
32,MenuElement,Container, ,-1
36,MenuElement,Create, ,-1
25,MenuElement,Create new profile, ,-1
24,MenuElement,Current:, ,-1
1,MenuElement,Import, ,-1
38,MenuElement,Ingredients, ,-1
45,MenuElement,Inv, ,-1
35,MenuElement,Inventory, ,-1
39,MenuElement,Inventory, ,-1
52,MenuElement,Label, ,-1
17,MenuElement,Language, ,-1
16,MenuElement,Language: [var:7], ,-1
6,MenuElement,Load,Charger,-1
49,MenuElement,Load,Charger,-1
21,MenuElement,Load game, ,-1
30,MenuElement,Menu, ,-1
11,MenuElement,Music volume, ,-1
47,MenuElement,New Game, ,-1
19,MenuElement,New save, ,-1
42,MenuElement,Objectives, ,-1
14,MenuElement,Off, ,-1
13,MenuElement,On, ,-1
4,MenuElement,Options,Possibilités,-1
9,MenuElement,Options,Possibilités,-1
48,MenuElement,Options,Possibilités,-1
40,MenuElement,Output, ,-1
7,MenuElement,Profiles,Profils,-1
23,MenuElement,Profiles,Profils,-1
50,MenuElement,Profiles,Profils,-1
8,MenuElement,Quit,Quitter,-1
51,MenuElement,Quit,Quitter,-1
3,MenuElement,Resume,Continuer,-1
0,MenuElement,Save, ,-1
5,MenuElement,Save, ,-1
18,MenuElement,Save game, ,-1
46,MenuElement,SKIP, ,-1
10,MenuElement,Speech volume, ,-1
12,MenuElement,Subtitles, ,-1
34,MenuElement,Take all, ,-1
