Key,Type,Desc,French,English
Back,Text,,Retour,Back
Dialogue System/Actor/1/Name,Text,,Kim,
Dialogue System/Actor/2/Name,Text,,NPC,
Dialogue System/Actor/3/Name,Text,,Merchant,
Dialogue System/Actor/4/Name,Text,,MARCO,
Dialogue System/Actor/4/NodeColor,Text,,#aad600ff,
Dialogue System/Actor/5/Name,Text,,Alice,
Dialogue System/Conversation/1/Description,Text,,"Initial conversation with the Merchant. First time you have spoken to someone from a different time, and you are still confused about how you got here, where you are and who these people are",
Dialogue System/Conversation/1/Entry/0/Sequence,Text,,None(),
Dialogue System/Conversation/1/Entry/0/Title,Text,,START,
Dialogue System/Conversation/1/Entry/1/Description,Text,,Said in the same way someone in modern times might say 'WTF' when interrupted	,
Dialogue System/Conversation/1/Entry/1/Dialogue Text,Text,Said in the same way someone in modern times might say 'WTF' when interrupted	,Jackanapes!!,
Dialogue System/Conversation/1/Entry/1/English,Text,,Jackanapes!!,
Dialogue System/Conversation/1/Entry/1/French,Text,,Jackanapes!!,
Dialogue System/Conversation/1/Entry/1/Title,Text,,HelloTitle,
Dialogue System/Conversation/1/Entry/2/Dialogue Text,Text,,Im so sorry....,
Dialogue System/Conversation/1/Entry/2/English,Text,,Im so sorry....,
Dialogue System/Conversation/1/Entry/2/French,Text,,Je suis vraiment désolé,
Dialogue System/Conversation/1/Entry/2/Menu Text,Text,,Sorry...I....,
Dialogue System/Conversation/1/Entry/2/Sequence,Text,,SALSA(speech/Test/test3);,
Dialogue System/Conversation/1/Entry/4/Dialogue Text,Text,,"Stand off else I’ll fetch you a broken pate! 
What do you mean by exciting my horse?",
Dialogue System/Conversation/1/Entry/4/English,Text,,"Stand off else I’ll fetch you a broken pate! 
What do you mean by exciting my horse?",
Dialogue System/Conversation/1/Entry/4/French,Text,,"Reste à distance, sinon je te casse le crâne !
Que veux-tu dire par exciter mon cheval ? ",
Dialogue System/Conversation/1/Entry/5/Dialogue Text,Text,,I didnt mean it. Forgive me? ,
Dialogue System/Conversation/1/Entry/5/English,Text,,I didnt mean it. Forgive me? ,
Dialogue System/Conversation/1/Entry/5/French,Text,,Je ne le pensais pas. Me pardonnez-vous ?,
Dialogue System/Conversation/1/Entry/5/Sequence,Text,,"SALSA(speech/Test/test4,,speech/Test/test5);",
Dialogue System/Conversation/1/Entry/6/Dialogue Text,Text,,"From where do you come? Why are you attired so, and speak in this forked tongue? ",
Dialogue System/Conversation/1/Entry/6/English,Text,,"From where do you come? Why are you attired so, and speak in this forked tongue? ",
Dialogue System/Conversation/1/Entry/6/French,Text,,"D'où venez-vous ? Pourquoi êtes-vous vêtus ainsi, et parlez-vous cette langue fourchue ?",
Dialogue System/Conversation/1/Entry/7/Dialogue Text,Text,,"I’m – I just live along the river, in…",
Dialogue System/Conversation/1/Entry/7/English,Text,,"I’m – I just live along the river, in…",
Dialogue System/Conversation/1/Entry/7/Sequence,Text,,SALSA(speech/Test/test3);,
Dialogue System/Conversation/1/Entry/8/Description,Text,,Shouted in religious tones,
Dialogue System/Conversation/1/Entry/8/Dialogue Text,Text,Shouted in religious tones,[em3]ART THOU SATAN?[/em3],
Dialogue System/Conversation/1/Entry/8/English,Text,,[em3]ART THOU SATAN?[/em3],
Dialogue System/Conversation/1/Entry/8/en,Text,,[em3]ART THOU SATAN?[/em3],
Dialogue System/Conversation/1/Entry/9/Description,Text,,"flustering, aplogetic",
Dialogue System/Conversation/1/Entry/9/Dialogue Text,Text,"flustering, aplogetic","No! What? Look, I’ll just – I’ll just back off. Sorry for freaking out the horse. Chill out, mate",
